Time,SetPoint,KP,KI,KD,Timer,FeedBack,Output,Difficulty
0.04587364196777344,105,0.2,0.01,0.001,5,94.234375,2.176809375,5
5.465741872787476,105,0.2,0.01,0.001,5,95,2.1961875,5
10.770850896835327,105,0.2,0.01,0.001,5,95.234375,2.062909375,5
16.050379514694214,105,0.2,0.01,0.001,5,95.44921875,2.0356718750000002,5
21.31570553779602,105,0.2,0.01,0.001,5,95.67578125,2.01180859375,5
26.628228902816772,105,0.2,0.01,0.001,5,96.16796875,1.9851421875000002,5
31.83333444595337,105,0.2,0.01,0.001,5,96.12890625,1.9043156250000002,5
37.34881234169006,105,0.2,0.01,0.001,5,95.984375,1.9299765625000003,5
42.40277051925659,105,0.2,0.01,0.001,5,96.17578125,1.9769351562500002,5
47.759047985076904,105,0.2,0.01,0.001,5,96.08984375,1.9562351562500002,5
53.1266667842865,105,0.2,0.01,0.001,5,96.359375,1.9912984375,5
58.237460136413574,105,0.2,0.01,0.001,5,96.34765625,1.9546023437500002,5
63.65803122520447,105,0.2,0.01,0.001,5,96.578125,1.9743070312500002,5
69.07395577430725,105,0.2,0.01,0.001,5,96.6484375,1.9450085937500001,5
74.49791836738586,105,0.2,0.01,0.001,5,97.1953125,1.94768125,5
79.83642435073853,96,0.2,0.01,0.001,5,97.91015625,0.03402031250000003,5
85.10298800468445,96,0.2,0.01,0.001,5,98.0859375,-0.11100234375000004,5
90.35736346244812,96,0.2,0.01,0.001,5,97.66796875,-0.15022265625000003,5
95.66355800628662,96,0.2,0.01,0.001,5,97.328125,-0.06984609375,5
101.04147291183472,96,0.2,0.01,0.001,5,96.390625,-0.004549218750000008,5
106.18442153930664,96,0.2,0.01,0.001,5,95.3984375,0.18228906250000004,5
111.60097646713257,96,0.2,0.01,0.001,5,93.859375,0.381940625,5
116.90884304046631,96,0.2,0.01,0.001,5,92.046875,0.6941437500000001,5
122.24964165687561,96,0.2,0.01,0.001,5,91.52734375,1.0646046875000001,5
127.39724278450012,96,0.2,0.01,0.001,5,91.3671875,1.17719765625,5
132.48590230941772,96,0.2,0.01,0.001,5,91.58203125,1.21842265625,5
137.8468587398529,96,0.2,0.01,0.001,5,91.375,1.18421484375,5
143.06265020370483,96,0.2,0.01,0.001,5,92.890625,1.2349554687500002,5
148.286235332489,96,0.2,0.01,0.001,5,94.3984375,0.9377046875000001,5
153.5874240398407,96,0.2,0.01,0.001,5,94.9140625,0.639346875,5
158.88972282409668,96,0.2,0.01,0.001,5,95.42578125,0.5385921875,5
164.27275204658508,96,0.2,0.01,0.001,5,95.63671875,0.43739765625000004,5
169.52566957473755,96,0.2,0.01,0.001,5,95.7265625,0.39599687499999997,5
174.80280542373657,96,0.2,0.01,0.001,5,95.67578125,0.37859921875,5
180.09253525733948,96,0.2,0.01,0.001,5,95.93359375,0.38943203125000003,5
185.5062220096588,96,0.2,0.01,0.001,5,96.5546875,0.33794062500000005,5
190.8017394542694,96,0.2,0.01,0.001,5,96.875,0.21253984375000004,5
196.0633363723755,96,0.2,0.01,0.001,5,97.19921875,0.14678749999999996,5
201.29340147972107,96,0.2,0.01,0.001,5,97.41015625,0.07954453124999998,5
206.59850406646729,96,0.2,0.01,0.001,5,97.8046875,0.03455937500000002,5
211.9532549381256,96,0.2,0.01,0.001,5,97.84375,-0.047992968750000024,5
217.23577690124512,96,0.2,0.01,0.001,5,97.3828125,-0.059421875000000034,5
222.4796028137207,96,0.2,0.01,0.001,5,96.83203125,0.03010000000000001,5
227.75139045715332,96,0.2,0.01,0.001,5,96.43359375,0.13861015625000003,5
232.97249245643616,96,0.2,0.01,0.001,5,95.8125,0.2174,5
238.2780237197876,96,0.2,0.01,0.001,5,95.23828125,0.34203828125,5
243.3474748134613,96,0.2,0.01,0.001,5,95.328125,0.45839609375,5
248.71069288253784,96,0.2,0.01,0.001,5,95.3046875,0.44163828125,5
253.98137593269348,96,0.2,0.01,0.001,5,95.17578125,0.4477390625,5
259.31607699394226,96,0.2,0.01,0.001,5,95.19921875,0.47518984375,5
264.5381438732147,96,0.2,0.01,0.001,5,95.45703125,0.4720734375,5
269.6278977394104,96,0.2,0.01,0.001,5,95.46484375,0.42155,5
274.97518658638,96,0.2,0.01,0.001,5,95.74609375,0.4211078125,5
280.31607699394226,96,0.2,0.01,0.001,5,96.19921875,0.3653109375,5
285.67461609840393,96,0.2,0.01,0.001,5,96.76171875,0.274253125,5
291.01483368873596,96,0.2,0.01,0.001,5,97.6015625,0.16020781250000002,5
296.5555453300476,96,0.2,0.01,0.001,5,98.66015625,-0.011019531250000023,5
301.997296333313,96,0.2,0.01,0.001,5,99.28125,-0.22810234375000008,5
307.335164308548,96,0.2,0.01,0.001,5,99.390625,-0.35879609375,5
312.78056025505066,96,0.2,0.01,0.001,5,99.51953125,-0.3873500000000001,5
